ht,un,upn,wn,vn,at,gr,is,eg,ws,tt,ct,tw_pp,wt,tr_pt,ts,fep,tc,tf,te,we,ce,ep
Haor,Baniachong,Muradpur ,3,Muradpur ,Rural ,Female,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,Individuals who are not part of the household and who are paid for this job (hired daily laborer),200,Manually with buckets
Flood Plains,Melandaha,Char banipakuria ,3,Dakshin Betmari para,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",,,,
Barind,Sapahar,Sapahar,2,Manikura,Rural ,Female,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Double pit offset ,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),2000,Manually with buckets
Haor,Ajmiriganj,Kakailsao,3,Jomigolgaw,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Cloth/sack,No roof,Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),1500,Manually with buckets
Haor,Ajmiriganj,Kakailsao,3,Jomigolgaw,Rural ,Female,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Container tank,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,Yes,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Haor,Ajmiriganj,Kakailsao,3,Jomigolga,Rural ,Female,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Container tank,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Haor,Jagannathpur,Raniganj,1,Kamrakhai,Rural ,Female,Agriculture ,Bengali,Non-poor ,Flush toilet,Septic tank,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Ceramic tiles,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Haor,Baniachong,Muradpur ,3,Muradpur,Rural ,Female,Day labour ,Bengali,Poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,Roof exists but is not adequate to protect from rain,Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Barind,Tanore,Kamargaon,8,Haripur,Rural ,Female,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Double pit offset ,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Haor,Ajmiriganj,Kakailsao,3,Jamigoalgoan,Rural ,Female,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Pit/tank with channel to open drain or water bodies,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Haor,Itna,Badla,1,Simla,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Pit/tank with channel to open drain or water bodies,"Yes, walls exist and provide privacy",Metal sheet,No roof,Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Haor,Jagannathpur,Raniganj,1,Khamrakhai,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Septic tank,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),1600,Manually with buckets
Haor,Itna,Badla,1,Shimla,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,Household members ,,Other (please specify)
Haor,Itna,Badla,1,Shimla,Rural ,Female,Day labour ,Bengali,Hard-core poor,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Metal sheet,No roof,Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,Individuals who are not part of the household and who are paid for this job (hired daily laborer),400,Manually with buckets
Haor,Itna,Badla,1,Shimla,Rural ,Female,Non-government Service ,Bengali,Poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,No roof,Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Haor,Jagannathpur,Raniganj,1,Kamrakhai,Rural ,Female,Agriculture ,Bengali,Non-poor ,Flush toilet,Septic tank,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Barind,Tanore,Kamargaon,8,Haripur mondol para,Rural ,Female,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Haor,Itna,Badla,1,Slmla,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Metal sheet,No roof,Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Haor,Itna,Badla,1,Shimla,Rural ,Male,Agriculture ,Bengali,Non-poor ,Flush toilet,Septic tank,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Ceramic tiles,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Barind,Tanore,Kamargaon,8,Haripur mondol para,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Double pit offset ,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),700,Manually with buckets
Flood Plains,Melandaha,Char banipakuria ,3,Dakshin Betmari para,Rural ,Female,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Haor,Itna,Badla,1,Shimla,Rural ,Male,Agriculture ,Bengali,Non-poor ,,,,,,,,,,,,,
Barind,Bholahat,Bholahat,8,Jhaobona,Rural ,Female,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Double pit,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Flood Plains,Sarishabari,Pingna ,6,Meia,Rural ,Female,Non-government Service ,Marma ,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Barind,Bholahat,Bholahat,8,Jhaobona,Rural ,Female,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Double pit,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Barind,Bholahat,Bholahat,8,Jhaobona,Rural ,Female,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Double pit,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Barind,Bholahat,Bholahat,8,Jhaobona,Rural ,Female,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Flood Plains,Melandaha,Char banipakuria ,3,Dakshin Betmari para,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Pit/tank with channel to open drain or water bodies,"Yes, walls exist and provide privacy",Metal sheet,No roof,Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",,,,
Flood Plains,Melandaha,Char banipakuria ,3,Betmari,Rural ,Female,Non-government Service ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Brick masonry,Yes,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Flood Plains,Sarishabari,Pingna ,6,Meia,Rural ,Male,Government Service ,Bengali,Non-poor ,Pour-flush toilet,Septic tank,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Flood Plains,Sarishabari,Pingna ,6,Meia,Rural ,Female,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Double pit,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Flood Plains,Sarishabari,Pingna ,6,Meia,Rural ,Male,Day labour ,Bengali,Poor ,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Metal sheet,Roof exists but is not adequate to protect from rain,Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",Yes emptied,Individuals who are not part of the household and who are paid for this job (hired daily laborer),300,Manually with buckets
Barind,Bholahat,Bholahat,8,Jhaobona,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Double pit,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Flood Plains,Melandaha,Char banipakuria ,3,Betmari,Rural ,Female,Non-government Service ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Other material (please specify),"Yes, roof exists and is adequate to protect from rain",Smooth earth/mud,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),1200,Manually with buckets
Barind,Bholahat,Bholahat,8,Jhaobona,Rural ,Male,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,No roof,Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Barind,Bholahat,Bholahat,8,Jhaobona,Rural ,Female,Day labour ,Bengali,Poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Barind,Bholahat,Bholahat,8,Jhaubona,Rural ,Male,"Large business (capital more than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Single pit offset,Walls exist but do not provide adequate privacy,Brick masonry,Roof exists but is not adequate to protect from rain,Concrete/cement,Yes,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Barind,Bholahat,Bholahat,8,Jhaubona,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Barind,Bholahat,Bholahat,8,Jhaubona,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Metal sheet,Roof exists but is not adequate to protect from rain,Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),550,Manually with buckets
Barind,Tanore,Kamargaon,8,Haripur,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Mud blocks,No roof,Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),1200,Other (please specify)
Barind,Tanore,Kamargaon,8,Haripur,Rural ,Female,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Barind,Tanore,Kamargaon,8,Haripur mondol para,Rural ,Female,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Brick masonry,Roof exists but is not adequate to protect from rain,Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),600,With a hand pump (or gulper device)
